Unique.ID,Exempt.Code,Address,Owner.Or.Facility,X,Volume.And.Page,Acreage,Land.Assessment,Building.Assessment,Total.Assessment,OPMAssessment,ID,Address_in,Match,Match_type,Address_out,long,lat,Line_ID,Line_side,State,County,Tract,Block,FIPS,newadd,Park,Parking_lot
281 0329 00200,PABX,00074 ASHMUN ST,Yale University,NA,0/0,0.13,156100,17150,173250,173250,92,"00074 ASHMUN ST, New Haven, CT",Match,Exact,"74 Ashmun St, New Haven, Ct, 06511",-72.928764,41.314766,3701098,L,9,9,361402,1007,09009361402,NA,NA,NA
243 0289 00702,PABX,00074 WALL ST,Yale University,NA,0/0,0.05,232610,0,232610,232610,93,"00074 WALL ST, New Haven, CT",Match,Exact,"74 Wall St, New Haven, Ct, 06511",-72.9242,41.309853,3701191,L,9,9,361402,2007,09009361402,NA,NA,NA
243 0289 00701,PABX,00076 WALL ST,Yale University,NA,0/0,0.04,196840,0,196840,196840,94,"00076 WALL ST, New Haven, CT",Match,Exact,"76 Wall St, New Haven, Ct, 06511",-72.924286,41.30989,3701191,L,9,9,361402,2007,09009361402,NA,NA,NA
281 0329 00100,PABX,00078 ASHMUN ST,Yale University,NA,9424/179,0.05,21140,104440,125580,125580,95,"00078 ASHMUN ST, New Haven, CT",Match,Exact,"78 Ashmun St, New Haven, Ct, 06511",-72.92878,41.314827,3701098,L,9,9,361402,1007,09009361402,NA,NA,NA
243 0289 00700,PABX,00078 WALL ST,Yale University,NA,0/0,0.04,196840,0,196840,196840,96,"00078 WALL ST, New Haven, CT",Match,Exact,"78 Wall St, New Haven, Ct, 06511",-72.92438,41.30993,3701191,L,9,9,361402,2007,09009361402,NA,NA,NA
243 0289 00600,PABX,00080 WALL ST,Yale University,NA,0/0,0.14,543060,1522850,2065910,2065910,97,"00080 WALL ST, New Haven, CT",Match,Exact,"80 Wall St, New Haven, Ct, 06511",-72.92461,41.310028,3701183,L,9,9,361402,2006,09009361402,NA,NA,NA
243 0289 00401,PABX,00082 WALL ST,Yale University,NA,2368/748,0.15,215040,801570,1016610,1016610,98,"00082 WALL ST, New Haven, CT",Match,Exact,"82 Wall St, New Haven, Ct, 06511",-72.92467,41.310055,3701183,L,9,9,361402,2006,09009361402,NA,NA,NA
244 0365 01500,PABX,00085 TRUMBULL ST,Yale University,NA,0/0,0.19,194460,0,194460,194460,99,"00085 TRUMBULL ST, New Haven, CT",Match,Exact,"85 Trumbull St, New Haven, Ct, 06511",-72.92369,41.313587,3701167,R,9,9,361402,1003,09009361402,NA,NA,NA
243 0289 00301,PABX,00086 WALL ST,Yale University,NA,2446/205,0.07,158760,237510,396270,396270,100,"00086 WALL ST, New Haven, CT",Match,Exact,"86 Wall St, New Haven, Ct, 06511",-72.9248,41.310112,3701183,L,9,9,361402,2006,09009361402,NA,NA,NA
296 0328 02800,PABX,00087 GOFFE ST,Yale University,NA,7353/100,0.27,63490,178710,242200,242200,101,"00087 GOFFE ST, New Haven, CT",Match,Exact,"87 Goffe St, New Haven, Ct, 06511",-72.93407,41.314808,3700394,R,9,9,141600,3010,09009141600,NA,NA,NA
244 0364 00900,PABX,00087 TRUMBULL ST,Yale University,NA,0/0,0.11,122570,427210,549780,549780,102,"00087 TRUMBULL ST, New Haven, CT",Match,Exact,"87 Trumbull St, New Haven, Ct, 06511",-72.92386,41.313618,3701167,R,9,9,361402,1003,09009361402,NA,NA,NA
244 0333 00600,PABX,00088 TRUMBULL ST,Yale University,NA,0/0,0.17,191310,11410,202720,202720,103,"00088 TRUMBULL ST, New Haven, CT",Match,Exact,"88 Trumbull St, New Haven, Ct, 06511",-72.922646,41.31332,3701172,L,9,9,361402,1013,09009361402,NA,NA,NA
296 0328 02900,PABX,00089 GOFFE ST,Yale University,NA,8704/11,0.23,61460,26810,88270,88270,104,"00089 GOFFE ST, New Haven, CT",Match,Exact,"89 Goffe St, New Haven, Ct, 06511",-72.9341,41.31484,3700394,R,9,9,141600,3010,09009141600,NA,NA,NA
244 0364 01000,PABX,00089 TRUMBULL ST,Yale University,NA,0/0,0.07,132160,2645090,2777250,2777250,105,"00089 TRUMBULL ST, New Haven, CT",Match,Exact,"89 Trumbull St, New Haven, Ct, 06511",-72.924034,41.313652,3701167,R,9,9,361402,1003,09009361402,NA,NA,NA
243 0289 00201,PABX,00090 WALL ST,Yale University,NA,2368/748,0.04,112420,122710,235130,235130,106,"00090 WALL ST, New Haven, CT",Match,Exact,"90 Wall St, New Haven, Ct, 06511",-72.92493,41.310165,3701183,L,9,9,361402,2006,09009361402,NA,NA,NA
244 0364 00100,PABX,00091 TRUMBULL ST,Yale University,NA,0/0,0.2,156660,2575510,2732170,2732170,107,"00091 TRUMBULL ST, New Haven, CT",Match,Exact,"91 Trumbull St, New Haven, Ct, 06511",-72.92421,41.313683,3701167,R,9,9,361402,1003,09009361402,NA,NA,NA
281 0350 00300,PABX,00096 ASHMUN ST,Yale University,NA,9156/26,0.09,20860,0,20860,20860,108,"00096 ASHMUN ST, New Haven, CT",Match,Exact,"96 Ashmun St, New Haven, Ct, 06511",-72.928856,41.315117,3701098,L,9,9,361402,1007,09009361402,NA,NA,NA
281 0350 00200,PABX,00100 ASHMUN ST,Yale University,NA,9156/26,0.09,41930,175840,217770,217770,109,"00100 ASHMUN ST, New Haven, CT",Match,Exact,"100 Ashmun St, New Haven, Ct, 06511",-72.929,41.315685,3701089,L,9,9,141600,4014,09009141600,NA,NA,NA
264 0103 00100,PABX,00100 CHURCH ST SOUTH,Yale University,NA,8312/302,4.64,2089360,6688640,8778000,8778000,110,"00100 CHURCH ST SOUTH, New Haven, CT",Tie,NA,"100 Church St, New Haven, Ct, 06510",-72.926,41.305725,NA,NA,NA,NA,NA,NA,09009140101,"100 CHURCH ST, NEW HAVEN, CT, 06510",FALSE,FALSE
258 0353 01200,PABX,00101 ASHMUN ST,Yale University,NA,8709/7,1.1,710360,144786250,145496610,145496610,111,"00101 ASHMUN ST, New Haven, CT",Match,Exact,"101 Ashmun St, New Haven, Ct, 06511",-72.92903,41.315853,3701089,R,9,9,141600,4012,09009141600,NA,NA,NA
264 0121 00403,PABX,00104 WASHINGTON AV,Amistad Partners Llc,NA,6655/94,2.09,51310,0,51310,51310,112,"00104 WASHINGTON AV, New Haven, CT",Tie,NA,"104 Washington Ave, New Haven, Ct, 06519",-72.93217,41.301437,NA,NA,NA,NA,NA,NA,09009140300,"104 WASHINGTON AVE, NEW HAVEN, CT, 06519",TRUE,FALSE
260 0309 00400,PABX,00109 WALL ST,Yale University,NA,0/0,0.66,759570,1883140,2642710,2642710,113,"00109 WALL ST, New Haven, CT",Match,Exact,"109 Wall St, New Haven, Ct, 06511",-72.92678,41.310986,3701136,R,9,9,361402,2002,09009361402,NA,NA,NA
260 0288 00101,PABX,00110 WALL ST,Yale University,NA,0/0,1.34,1052660,0,1052660,1052660,114,"00110 WALL ST, New Haven, CT",Match,Exact,"110 Wall St, New Haven, Ct, 06511",-72.92556,41.310444,3701183,L,9,9,361402,2006,09009361402,NA,NA,NA
223 0334 00100,PABX,00111 GROVE ST,Yale University,NA,0/0,0.47,862120,3141320,4003440,4003440,115,"00111 GROVE ST, New Haven, CT",Match,Exact,"111 Grove St, New Haven, Ct, 06510",-72.923195,41.310722,3701201,R,9,9,142000,3008,09009142000,NA,NA,NA
260 0288 00104,PABX,00115 HIGH ST,Yale University,NA,5150/5,0.49,2352350,26753720,29106070,29106070,116,"00115 HIGH ST, New Haven, CT",Tie,NA,"115 High St, New Haven, Ct, 06511",-72.92856,41.31039,NA,NA,NA,NA,NA,NA,09009361402,"115 HIGH ST, NEW HAVEN, CT, 06511",FALSE,FALSE
260 0287 00101,PABX,00120 HIGH ST,Yale University,NA,0/0,1.29,1013390,97970320,98983710,98983710,117,"00120 HIGH ST, New Haven, CT",Tie,NA,"120 High St, New Haven, Ct, 06511",-72.92853,41.310463,NA,NA,NA,NA,NA,NA,09009361402,"120 HIGH ST, NEW HAVEN, CT, 06511",FALSE,FALSE
260 0288 00100,PABX,00121 HIGH ST,Yale University,NA,0/0,0.43,672980,15571080,16244060,16244060,118,"00121 HIGH ST, New Haven, CT",Match,Exact,"121 High St, New Haven, Ct, 06511",-72.92851,41.310455,3701135,R,9,9,361402,2005,09009361402,NA,NA,NA
260 0309 00500,PABX,00121 WALL ST,Yale University,NA,0/0,0.77,799540,45535980,46335520,46335520,119,"00121 WALL ST, New Haven, CT",Match,Exact,"121 Wall St, New Haven, Ct, 06511",-72.92757,41.311314,3701136,R,9,9,361402,2002,09009361402,NA,NA,NA
241 0204 00100,PABX,00123 COLLEGE ST,W E 135 College Street Llc,NA,9375/229,1.12,1099770,5263300,6363070,6363070,120,"00123 COLLEGE ST, New Haven, CT",Match,Exact,"123 College St, New Haven, Ct, 06510",-72.93067,41.304573,3701264,R,9,9,140100,1022,09009140100,NA,NA,NA
244 0333 00100,PABX,00131 GROVE ST,Yale University,NA,0/0,0.5,872550,5627300,6499850,6499850,121,"00131 GROVE ST, New Haven, CT",Match,Exact,"131 Grove St, New Haven, Ct, 06511",-72.922806,41.310562,3701201,R,9,9,142000,3008,09009142000,NA,NA,NA
278 0133 02900,PABX,00134 DAVENPORT AV,Yale University,NA,0/0,0.11,31780,162120,193900,193900,122,"00134 DAVENPORT AV, New Haven, CT",Match,Exact,"134 Davenport Ave, New Haven, Ct, 06519",-72.93763,41.30276,3700528,L,9,9,140600,2001,09009140600,NA,NA,NA
244 0364 00200,PABX,00135 PROSPECT ST,Yale University,NA,0/0,1.72,1084160,9287740,10371900,10371900,123,"00135 PROSPECTST, New Haven, CT",Match,Exact,"135 Prospect St, New Haven, Ct, 06511",-72.92379,41.318176,618696080,R,9,9,361402,1000,09009361402,NA,NA,NA
261 0231 00200,PABX,00139 YORK ST,Yale University,NA,0/0,0.09,501270,530600,1031870,1031870,124,"00139 YORK ST, New Haven, CT",Match,Exact,"139 York St, New Haven, Ct, 06511",-72.93242,41.30734,3701124,R,9,9,361401,1004,09009361401,NA,NA,NA
260 0308 00100,PABX,00140 HIGH ST,Yale University,NA,0/0,2.2,1728230,56792890,58521120,58521120,125,"00140 HIGH ST, New Haven, CT",Tie,NA,"140 High St, New Haven, Ct, 06511",-72.92837,41.31068,NA,NA,NA,NA,NA,NA,09009361402,"140 HIGH ST, NEW HAVEN, CT, 06511",FALSE,FALSE
243 0289 01300,PABX,00143 ELM ST,Yale University,NA,0/0,0.22,582470,590800,1173270,1173270,126,"00143 ELM ST, New Haven, CT",Match,Exact,"143 Elm St, New Haven, Ct, 06511",-72.92576,41.30891,3701185,R,9,9,361402,2006,09009361402,NA,NA,NA
243 0289 01400,PABX,00149 ELM ST,Yale University,NA,0/0,0.28,608930,975310,1584240,1584240,127,"00149 ELM ST, New Haven, CT",Match,Exact,"149 Elm St, New Haven, Ct, 06511",-72.92594,41.308983,3701185,R,9,9,361402,2006,09009361402,NA,NA,NA
261 0231 00300,PABX,00149 YORK ST,Yale University,NA,0/0,0.6,739060,1672090,2411150,2411150,128,"00149 YORK ST, New Haven, CT",Match,Exact,"149 York St, New Haven, Ct, 06511",-72.9323,41.307503,3701124,R,9,9,361401,1004,09009361401,NA,NA,NA
249 0457 00200,PABX,00150 HIGHLAND ST,Yale University,NA,0/0,0.17,128100,352170,480270,480270,129,"00150 HIGHLAND ST, New Haven, CT",Match,Exact,"150 Highland St, New Haven, Ct, 06511",-72.9206,41.328426,3699826,L,9,9,141800,1016,09009141800,NA,NA,NA
257 0354 00100,PABX,00150 MUNSON ST,We 150 Munson Llc,NA,9156/329,1.75,985950,18984126,19970076,19970076,130,"00150 MUNSON ST, New Haven, CT",Match,Exact,"150 Munson St, New Haven, Ct, 06511",-72.92905,41.32152,641101215,L,9,9,141600,1001,09009141600,NA,NA,NA
377 1079 00120,PABX,00150 YALE AV,Yale University,NA,0/0,10.4,1495410,59995670,61491080,61491080,131,"00150 YALE AV, New Haven, CT",Match,Exact,"150 Yale Ave, New Haven, Ct, 06515",-72.95938,41.315155,3697716,L,9,9,141000,2016,09009141000,NA,NA,NA
280 0230 01005,PABX,00150 YORK ST,Yale University,NA,5083/253,0.74,1106840,4714570,5821410,5821410,132,"00150 YORK ST, New Haven, CT",Match,Exact,"150 York St, New Haven, Ct, 06511",-72.93207,41.30782,3701124,L,9,9,361401,1005,09009361401,NA,NA,NA
277 0114 00100,PABX,00156 WASHINGTON AV,Beta 14 Llc,NA,8404/297,0.04,36540,0,36540,36540,133,"00156 WASHINGTON AV, New Haven, CT",Tie,NA,"156 Washington Ave, New Haven, Ct, 06519",-72.9328,41.3009,NA,NA,NA,NA,NA,NA,09009140300,"156 WASHINGTON AVE, NEW HAVEN, CT, 06519",FALSE,TRUE
244 0365 00900,PABX,00158 WHITNEY AV,Yale University,NA,0/0,0.93,263830,10964590,11228420,11228420,134,"00158 WHITNEY AV, New Haven, CT",No_Match,NA,"158 Whitney Ave, New Haven, Ct, 06510",-72.92097,41.315224,NA,NA,NA,NA,NA,NA,09009361402,"158 WHITNEY AVE, NEW HAVEN, CT, 06510",FALSE,FALSE
247 0395 01600,PABX,00160 SAINT RONAN ST,Yale University,NA,9088/262,0.53,144970,366310,511280,511280,135,"00160 SAINT RONAN ST, New Haven, CT",Match,Exact,"160 Saint Ronan St, New Haven, Ct, 06511",-72.92015,41.320656,3699984,L,9,9,141800,2001,09009141800,NA,NA,NA
377 1079 00100,PABX,00165 CENTRAL AV,Yale University,NA,0/0,12.65,1818880,3489080,5307960,5307960,136,"00165 CENTRAL AV, New Haven, CT",Tie,NA,"165 Central Ave, New Haven, Ct, 06515",-72.96391,41.313652,NA,NA,NA,NA,NA,NA,09009141000,"165 CENTRAL AVE, NEW HAVEN, CT, 06515",FALSE,FALSE
243 0289 01600,PABX,00165 ELM ST,Yale University,NA,9115/158,0.99,851830,36460550,37312380,37312380,137,"00165 ELM ST, New Haven, CT",Match,Exact,"165 Elm St, New Haven, Ct, 06511",-72.92643,41.309185,3701185,R,9,9,361402,2006,09009361402,NA,NA,NA
245 0363 00100,PABX,00165 PROSPECT ST,Yale University,NA,0/0,4.11,2590700,58180360,60771060,60771060,138,"00165 PROSPECTST, New Haven, CT",Match,Exact,"165 Prospect St, New Haven, Ct, 06511",-72.92373,41.31839,618696080,R,9,9,361402,1000,09009361402,NA,NA,NA
244 0332 00100,PABX,00173 GROVE ST,Yale University,NA,0/0,0.59,1156330,14246050,15402380,15402380,139,"00173 GROVE ST, New Haven, CT",Match,Exact,"173 Grove St, New Haven, Ct, 06511",-72.92335,41.310787,3701201,R,9,9,142000,3008,09009142000,NA,NA,NA
277 0114 02400,PABX,00174 WASHINGTON AV,Beta 14 Llc,NA,8404/303,0.16,49980,0,49980,49980,140,"00174 WASHINGTON AV, New Haven, CT",Tie,NA,"174 Washington Ave, New Haven, Ct, 06519",-72.93317,41.3006,NA,NA,NA,NA,NA,NA,09009140300,"174 WASHINGTON AVE, NEW HAVEN, CT, 06519",FALSE,TRUE
222 0375 00201,PABX,00175 WHITNEY AV,Yale University,NA,0/0,4.4,3268230,114077880,117346110,117346110,141,"00175 WHITNEY AV, New Haven, CT",Match,Exact,"175 Whitney Ave, New Haven, Ct, 06510",-72.91997,41.31734,637984016,R,9,9,142000,3002,09009142000,NA,NA,NA
277 0114 02200,PABX,00180 WASHINGTON AV,Beta 14 Llc,NA,8404/326,0.15,49420,0,49420,49420,142,"00180 WASHINGTON AV, New Haven, CT",Tie,NA,"180 Washington Ave, New Haven, Ct, 06519",-72.933235,41.30054,NA,NA,NA,NA,NA,NA,09009140300,"180 WASHINGTON AVE, NEW HAVEN, CT, 06519",FALSE,TRUE
245 0363 01200,PABX,00180 WHITNEY AV,Yale University,NA,0/0,6.19,4597810,51497460,56095270,56095270,143,"00180 WHITNEY AV, New Haven, CT",No_Match,NA,"180 Whitney Ave, New Haven, Ct, 06511",-72.920395,41.31646,NA,NA,NA,NA,NA,NA,09009361402,"180 WHITNEY AVE, NEW HAVEN, CT, 06511",FALSE,FALSE
257 0354 00300,PABX,00182 WINCHESTER AV,Yale University,NA,8362/106,1.38,101640,0,101640,101640,144,"00182 WINCHESTER AV, New Haven, CT",Match,Exact,"182 Winchester Ave, New Haven, Ct, 06511",-72.92731,41.318043,3701094,L,9,9,141600,1001,09009141600,NA,NA,NA
280 0250 02500,PABX,00182 YORK ST,Yale University,NA,5150/1,0.42,666400,29390760,30057160,30057160,145,"00182 YORK ST, New Haven, CT",Match,Exact,"182 York St, New Haven, Ct, 06511",-72.93143,41.308678,3701131,L,9,9,361401,3007,09009361401,NA,NA,NA
263 0125 00800,PABX,00184 LIBERTY ST,Yale University,NA,3872/107,1.07,2338420,21833140,24171560,24171560,146,"00184 LIBERTY ST, New Haven, CT",Match,Exact,"184 Liberty St, New Haven, Ct, 06519",-72.932655,41.301586,637860456,L,9,9,140300,2020,09009140300,NA,NA,NA
264 0120 00800,PABX,00188 LAFAYETTE ST,Yale University,NA,9599/156,0.09,31080,0,31080,31080,147,"00188 LAFAYETTE ST, New Haven, CT",Match,Exact,"188 Lafayette St, New Haven, Ct, 06519",-72.93051,41.302105,3744443,L,9,9,140300,2017,09009140300,NA,NA,NA
260 0288 00103,PABX,00189 ELM ST,Yale University,NA,0/0,1.62,1361500,67636030,68997530,68997530,148,"00189 ELM ST, New Haven, CT",Match,Exact,"189 Elm St, New Haven, Ct, 06511",-72.927536,41.309643,638551938,R,9,9,361402,2005,09009361402,NA,NA,NA
277 0114 02100,PABX,00192 WASHINGTON AV,Beta 14 Llc,NA,8404/339,0.12,47320,0,47320,47320,149,"00192 WASHINGTON AV, New Haven, CT",Tie,NA,"192 Washington Ave, New Haven, Ct, 06519",-72.93337,41.300426,NA,NA,NA,NA,NA,NA,09009140300,"192 WASHINGTON AVE, NEW HAVEN, CT, 06519",FALSE,TRUE
280 0250 02400,PABX,00194 YORK ST,Yale University,NA,0/0,0.18,216790,0,216790,216790,150,"00194 YORK ST, New Haven, CT",Match,Exact,"194 York St, New Haven, Ct, 06511",-72.93126,41.308914,3701131,L,9,9,361401,3007,09009361401,NA,NA,NA
264 0120 00700,PABX,00196 LAFAYETTE ST,Yale University,NA,9599/156,0.05,24640,0,24640,24640,151,"00196 LAFAYETTE ST, New Haven, CT",Match,Exact,"196 Lafayette St, New Haven, Ct, 06519",-72.930534,41.30213,3744443,L,9,9,140300,2017,09009140300,NA,NA,NA
261 0251 00101,PABX,00197 YORK ST,Yale University,NA,0/0,2.33,1830360,39045230,40875590,40875590,152,"00197 YORK ST, New Haven, CT",Match,Exact,"197 York St, New Haven, Ct, 06511",-72.931694,41.308285,3701124,R,9,9,361401,1004,09009361401,NA,NA,NA
447 1252 00301,PABX,00200 CONRAD DR,Yale University,NA,0/0,203.58,7638330,0,7638330,7638330,153,"00200 CONRAD DR, New Haven, CT",Match,Exact,"200 Conrad Dr, New Haven, Ct, 06515",-72.98084,41.32013,3697243,L,9,9,141100,1009,09009141100,NA,NA,NA
261 0252 00301,PABX,00200 ELM ST,Yale University,NA,0/0,0.29,612010,8685180,9297190,9297190,154,"00200 ELM ST, New Haven, CT",Match,Exact,"200 Elm St, New Haven, Ct, 06511",-72.928154,41.309883,638551938,L,9,9,361401,1002,09009361401,NA,NA,NA
246 0362 00102,PABX,00200 PROSPECT ST,Yale University,NA,0/0,8.56,2161460,23087190,25248650,25248650,155,"00200 PROSPECTST, New Haven, CT",Match,Exact,"200 Prospect St, New Haven, Ct, 06511",-72.924324,41.31627,618696079,L,9,9,361402,1001,09009361402,NA,NA,NA
280 0250 02300,PABX,00200 YORK ST,Yale University,NA,5212/200,0.11,196840,26833240,27030080,27030080,156,"00200 YORK ST, New Haven, CT",Match,Exact,"200 York St, New Haven, Ct, 06511",-72.931175,41.309032,3701131,L,9,9,361401,3007,09009361401,NA,NA,NA
261 0251 00200,PABX,00201 YORK ST,Yale University,NA,0/0,3.48,2733780,61056380,63790160,63790160,157,"00201 YORK ST, New Haven, CT",Match,Exact,"201 York St, New Haven, Ct, 06511",-72.931465,41.308594,3701131,R,9,9,361401,1003,09009361401,NA,NA,NA
280 0250 02210,PABX,00202 YORK ST,Yale University,NA,0/0,0.07,186410,465850,652260,652260,158,"00202 YORK ST, New Haven, CT",Match,Exact,"202 York St, New Haven, Ct, 06511",-72.931145,41.30907,3701131,L,9,9,361401,3007,09009361401,NA,NA,NA
280 0250 00300,PABX,00205 PARK ST,Yale University,NA,0/0,0.13,134260,1190700,1324960,1324960,159,"00205 PARK ST, New Haven, CT",Match,Exact,"205 Park St, New Haven, Ct, 06511",-72.933464,41.30899,3701115,R,9,9,361401,3007,09009361401,NA,NA,NA
280 0250 00301,PABX,00205 PARK ST,Yale University,NA,0/0,0,4130,0,4130,4130,160,"00205 PARK ST, New Haven, CT",Match,Exact,"205 Park St, New Haven, Ct, 06511",-72.933464,41.30899,3701115,R,9,9,361401,3007,09009361401,NA,NA,NA
264 0120 00500,PABX,00206 LAFAYETTE ST,Yale University,NA,8314/77,0.23,34720,0,34720,34720,161,"00206 LAFAYETTE ST, New Haven, CT",Match,Exact,"206 Lafayette St, New Haven, Ct, 06519",-72.93056,41.302162,3744443,L,9,9,140300,2017,09009140300,NA,NA,NA
277 0114 02000,PABX,00208 WASHINGTON AV,Beta 14 Llc,NA,8404/335,0.12,46830,0,46830,46830,162,"00208 WASHINGTON AV, New Haven, CT",Tie,NA,"208 Washington Ave, New Haven, Ct, 06519",-72.933556,41.300274,NA,NA,NA,NA,NA,NA,09009140300,"208 WASHINGTON AVE, NEW HAVEN, CT, 06519",FALSE,TRUE
260 0287 00200,PABX,00209 ELM ST,Yale University,NA,0/0,1.22,958370,24442250,25400620,25400620,163,"00209 ELM ST, New Haven, CT",Match,Exact,"209 Elm St, New Haven, Ct, 06511",-72.92885,41.31018,3701132,R,9,9,361402,2004,09009361402,NA,NA,NA
280 0250 01900,PABX,00212 YORK ST,Yale University,NA,0/0,0.2,220640,975870,1196510,1196510,164,"00212 YORK ST, New Haven, CT",Match,Exact,"212 York St, New Haven, Ct, 06511",-72.931,41.30927,3701131,L,9,9,361401,3007,09009361401,NA,NA,NA
280 0250 00400,PABX,00213 PARK ST,Yale University,NA,0/0,0.29,170310,2426270,2596580,2596580,165,"00213 PARK ST, New Haven, CT",Match,Exact,"213 Park St, New Haven, Ct, 06511",-72.93337,41.309105,3701115,R,9,9,361401,3007,09009361401,NA,NA,NA
261 0252 00300,PABX,00214 ELM ST,Yale University,NA,5150/1,1.33,1044820,15787310,16832130,16832130,166,"00214 ELM ST, New Haven, CT",Match,Exact,"214 Elm St, New Haven, Ct, 06511",-72.92842,41.309998,638551938,L,9,9,361401,1002,09009361401,NA,NA,NA
280 0250 02100,PABX,00215 PARK ST,Yale University,NA,0/0,0.21,159880,531720,691600,691600,167,"00215 PARK ST, New Haven, CT",Match,Exact,"215 Park St, New Haven, Ct, 06511",-72.93336,41.30913,3701115,R,9,9,361401,3007,09009361401,NA,NA,NA
222 0370 00500,PABX,00215 WHITNEY AV,Yale University,NA,5419/6,0.53,671020,34090,705110,705110,168,"00215 WHITNEY AV, New Haven, CT",Match,Exact,"215 Whitney Ave, New Haven, Ct, 06510",-72.919876,41.317524,637984016,R,9,9,142000,3002,09009142000,NA,NA,NA
277 0114 01900,PABX,00216 WASHINGTON AV,Beta 14 Llc,NA,8404/332,0.08,44030,0,44030,44030,169,"00216 WASHINGTON AV, New Haven, CT",Tie,NA,"216 Washington Ave, New Haven, Ct, 06519",-72.93365,41.3002,NA,NA,NA,NA,NA,NA,09009140300,"216 WASHINGTON AVE, NEW HAVEN, CT, 06519",FALSE,TRUE
280 0250 00500,PABX,00217 PARK ST,Yale University,NA,0/0,0.13,148890,522620,671510,671510,170,"00217 PARK ST, New Haven, CT",Match,Exact,"217 Park St, New Haven, Ct, 06511",-72.933334,41.309162,3701115,R,9,9,361401,3007,09009361401,NA,NA,NA
277 0114 00601,PABX,00220 WASHINGTON AV,Beta 14 Llc,NA,8405/1,0.03,24500,0,24500,24500,171,"00220 WASHINGTON AV, New Haven, CT",Tie,NA,"220 Washington Ave, New Haven, Ct, 06511",-72.933685,41.300163,NA,NA,NA,NA,NA,NA,09009140300,"220 WASHINGTON AVE, New Haven, CT, 06511",FALSE,TRUE
280 0250 01800,PABX,00220 YORK ST,Yale University,NA,0/0,0.23,224350,2859010,3083360,3083360,172,"00220 YORK ST, New Haven, CT",Match,Exact,"220 York St, New Haven, Ct, 06511",-72.93089,41.309425,3701131,L,9,9,361401,3007,09009361401,NA,NA,NA
222 0370 00600,PABX,00221 WHITNEY AV,Yale University,NA,5419/6,1,810810,6914950,7725760,7725760,173,"00221 WHITNEY AV, New Haven, CT",Match,Exact,"221 Whitney Ave, New Haven, Ct, 06510",-72.91987,41.31755,637984016,R,9,9,142000,3002,09009142000,NA,NA,NA
245 0363 00201,PABX,00223 PROSPECT ST,Yale University,NA,0/0,2.96,1865780,75367110,77232890,77232890,174,"00223 PROSPECTST, New Haven, CT",Match,Exact,"223 Prospect St, New Haven, Ct, 06511",-72.923615,41.318798,618696080,R,9,9,361402,1000,09009361402,NA,NA,NA
277 0114 01800,PABX,00224 WASHINGTON AV,Beta 14 Llc,NA,8404/343,0.09,44940,0,44940,44940,175,"00224 WASHINGTON AV, New Haven, CT",Tie,NA,"224 Washington Ave, New Haven, Ct, 06519",-72.93373,41.300125,NA,NA,NA,NA,NA,NA,09009140300,"224 WASHINGTON AVE, NEW HAVEN, CT, 06519",FALSE,TRUE
280 0250 01600,PABX,00224 YORK ST,Yale University,NA,0/0,0.57,363930,4422810,4786740,4786740,176,"00224 YORK ST, New Haven, CT",Match,Exact,"224 York St, New Haven, Ct, 06511",-72.93083,41.309505,3701131,L,9,9,361401,3007,09009361401,NA,NA,NA
280 0250 00600,PABX,00225 PARK ST,Yale University,NA,0/0,2.65,2081730,0,2081730,2081730,177,"00225 PARK ST, New Haven, CT",Match,Exact,"225 Park St, New Haven, Ct, 06511",-72.93324,41.309277,3701115,R,9,9,361401,3007,09009361401,NA,NA,NA
277 0123 00700,PABX,00225 WASHINGTON AV,Yale University,NA,456/296,1.29,291060,82390,373450,373450,178,"00225 WASHINGTON AV, New Haven, CT",Tie,NA,"225 Washington Ave, New Haven, Ct, 06519",-72.93403,41.2999,NA,NA,NA,NA,NA,NA,09009140300,"225 WASHINGTON AVE, New Haven, CT, 06519",FALSE,TRUE
247 0394 00700,PABX,00227 MANSFIELD ST,Yale University,NA,0/0,1.3,160930,67830,228760,228760,179,"00227 MANSFIELD ST, New Haven, CT",Match,Exact,"227 Mansfield St, New Haven, Ct, 06511",-72.925735,41.322617,637984137,R,9,9,141800,3004,09009141800,NA,NA,NA
277 0114 01700,PABX,00230 WASHINGTON AV,Beta 14 Llc,NA,8404/329,0.09,45290,0,45290,45290,180,"00230 WASHINGTON AV, New Haven, CT",Tie,NA,"230 Washington Ave, New Haven, Ct, 06519",-72.9338,41.300068,NA,NA,NA,NA,NA,NA,09009140300,"230 WASHINGTON AVE, NEW HAVEN, CT, 06519",FALSE,FALSE
280 0250 01500,PABX,00232 YORK ST,Yale University,NA,0/0,0.23,281120,2310210,2591330,2591330,181,"00232 YORK ST, New Haven, CT",Match,Exact,"232 York St, New Haven, Ct, 06511",-72.930725,41.30966,3701131,L,9,9,361401,3007,09009361401,NA,NA,NA
243 0311 00401,PABX,00236 CHURCH ST,Yale University,NA,2820/31,0.18,568680,4233320,4802000,4802000,182,"00236 CHURCH ST, New Haven, CT",Match,Exact,"236 Church St, New Haven, Ct, 06510",-72.92296,41.309822,3701209,L,9,9,361402,2000,09009361402,NA,NA,NA
