"names","address"
"The Todai-Yale Initiative"," 55 Whitney Avenue, New Haven, CT"
"The Yale Herald"," 305 Crown Street, New Haven, CT"
"The Yale Review"," 314 Prospect Street, New Haven, CT"
"Theater Magazine"," 222 York Street, New Haven, CT"
"Theater Studies"," 220 York Street, New Haven, CT"
"Therapeutic Radiology"," 15 York Street, New Haven, CT"
"Timothy Dwight College"," 345 Temple Street, New Haven, CT"
"Traffic, Receiving & Stores"," 55 Whitney Avenue, New Haven, CT"
"Transportation Dispatch Office"," 344 College Street, New Haven, CT"
"Treasury Services"," 2 Whitney Avenue, New Haven, CT"
"Tropical Resources Institute"," 301 Prospect Street, New Haven, CT"
"Trumbull College"," 241 Elm Street, New Haven, CT"
"Trusts & Estates"," 55 Whitney Avenue, New Haven, CT"
"U.S. Post Office (Yale Station)"," 206 Elm Street, New Haven, CT"
"Ulysses S. Grant Foundation"," 67 High Street, New Haven, CT"
"Undergraduate Admissions"," 38 Hillhouse Avenue, New Haven, CT"
"Undergraduate Career Services"," 55 Whitney Avenue, New Haven, CT"
"University Auditing & Quality Assurance"," 150 Munson Street, New Haven, CT"
"University Church in Yale"," 300 College Street, New Haven, CT"
"University Council"," 105 Wall Street, New Haven, CT"
"University Police Department"," 101 Ashmun Street, New Haven, CT"
"University Properties"," 433 Temple Street, New Haven, CT"
"University Theatre (School of Drama)"," 222 York Street, New Haven, CT"
"University-Wide Committee on Sexual Misconduct"," 55 Whitney Avenue, Ste 260, New Haven, CT"
"Urban Design Workshop"," 1203 Chapel Street, New Haven, CT"
"Urban Ethnography Project (UEP)"," 493 College Street, New Haven, CT"
"Urban Resources Initiative"," 301 Prospect Street, New Haven, CT"
"Utilities"," 2 Whitney Avenue, New Haven, CT"
"Vanderbilt Hall"," 1035 Chapel Street, New Haven, CT"
"Vascular Biology & Therapeutics Program"," 10 Amistad Street, New Haven, CT"
"Visitor Center"," 149 Elm Street, New Haven, CT"
"Visual Resources Collection"," 180 York Street, New Haven, CT"
"W.M. Keck Biotechnology Resource Laboratory"," 300 George Street, New Haven, CT"
"Welch Hall"," 330 College Street, New Haven, CT"
"West Campus"," 100 West Campus Drive, New Haven, CT"
"West Campus Analytical Core (WCAC)"," 600 West Campus Drive, New Haven, CT"
"Whitney Humanities Center"," 53 Wall Street, New Haven, CT"
"Whitney Humanities Center Auditorium"," 53 Wall Street, New Haven, CT"
"Wing STC Revision Project"," 120 High Street, New Haven, CT"
"Women Faculty Forum"," 305 Crown Street, New Haven, CT"
"Women’s Center"," 198 Elm Street, New Haven, CT"
"Women’s Health Research at Yale"," 135 College Street, New Haven, CT"
"Woolsey Hall"," 500 College Street, New Haven, CT"
"Work-Life & Childcare Programs"," 221 Whitney Avenue, New Haven, CT"
"World Fellows Program"," 393 Prospect Street, New Haven, CT"
"Wright Laboratory"," 272 Whitney Avenue, New Haven, CT"
"WYBC 94.3"," 142 Temple Street, New Haven, CT"
"Yale Alumni Association"," 232 York Street, New Haven, CT"
"Yale Alumni Magazine"," 149 York Street, New Haven, CT"
"Yale Alzheimer’s Disease Research Unit"," 1 Church Street, New Haven, CT"
"Yale Bookstore"," 77 Broadway, New Haven, CT"
"Yale Bowl"," 81 Central Avenue, New Haven, CT"
"Yale Broadcast Studio"," 135 College Street, New Haven, CT"
"Yale Cabaret"," 217 Park Street, New Haven, CT"
"Yale Camerata"," 409 Prospect Street, New Haven, CT"
"Yale Cancer Center"," 15 York Street, New Haven, CT"
"Yale Center for British Art"," 1080 Chapel Street, New Haven, CT"
"Yale Center for British Art Lecture Hall"," 1080 Chapel Street, New Haven, CT"
"Yale Center for British Art Reference Library"," 1080 Chapel Street, New Haven, CT"
"Yale Center for Genome Analysis (YCGA)"," 830 West Campus Drive, New Haven, CT"
"Yale Center for Molecular Discovery (YCMD)"," 600 West Campus Drive, New Haven, CT"
"Yale Center for the Study of Globalization"," 393 Prospect Street, New Haven, CT"
"Yale Center for the Study of Race, Indigeneity & Transnational Migration"," 35 Broadway, 2nd Floor, New Haven, CT"
"Yale Climate & Energy Institute"," 195 Prospect Street, New Haven, CT"
"Yale Collection of Musical Instruments"," 15 Hillhouse Avenue, New Haven, CT"
"Yale College"," 1 Prospect Street, New Haven, CT"
"Yale College Dean’s Office (YCDO)"," 1 Prospect Street, New Haven, CT"
"Yale College Science & Quantitative Reasoning Center"," 1 Prospect Street, New Haven, CT"
"Yale College Undergraduate Production"," 294-296 Elm Street, New Haven, CT"
"Yale College Writing Center"," 35 Broadway, New Haven, CT"
"Yale Corporation (President & University Fellows)"," 105 Wall Street, New Haven, CT"
"Yale Daily News (YDN)"," 202 York Street, New Haven, CT"
"Yale Dermatologic Surgery"," 40 Temple Street, New Haven, CT"
"Yale Dramatic Association (Dramat)"," 222 York Street, New Haven, CT"
"Yale Entrepreneurial Institute"," 55 Whitney Avenue, New Haven, CT"
"Yale Forest Forum"," 360 Prospect Street, New Haven, CT"
"Yale French Studies"," 82-90 Wall Street, New Haven, CT"
"Yale Glee Club"," 165 Elm Street, New Haven, CT"
"Yale Health"," 55 Lock Street, New Haven, CT"
"Yale Hospitality (Yale Dining)"," 246 Church Street, New Haven, CT"
"Yale Institute for Biospheric Studies (YIBS)"," 21 Sachem Street, New Haven, CT"
"Yale Journal of Biology & Medicine"," 300 George Street, New Haven, CT"
"Yale Library Associates"," 121 Wall Street, New Haven, CT"
"Yale Medicine"," 300 George Street, New Haven, CT"
"Yale News"," 2 Whitney Avenue, New Haven, CT"
"Yale Parenting Center & Child Conduct Clinic"," 314 Prospect Street, New Haven, CT"
"Yale Police Benevolent Association (YPBA)"," 101 Ashmun Street, New Haven, CT"
"Yale Repertory Theatre (Yale Rep)"," 1120 Chapel Street, New Haven, CT"
"Yale Schola Cantorum"," 409 Prospect Street, New Haven, CT"
"Yale Shuttle"," 2 Whitney Avenue, New Haven, CT"
"Yale Stem Cell Center"," 10 Amistad Street, New Haven, CT"
"Yale Summer School of Music"," 435 College Street, New Haven, CT"
"Yale Summer Session"," 55 Whitney Avenue, New Haven, CT"
"Yale Symphony Orchestra"," 165 Elm Street, New Haven, CT"
"Yale Travel Services"," 55 Whitney Avenue, New Haven, CT"
"Yale University Art Gallery"," 1111 Chapel Street, New Haven, CT"
"Yale University Bands"," 165 Elm Street, New Haven, CT"
"Yale University Press"," 302 Temple Street, New Haven, CT"
"Yale Young Global Scholars"," 393 Prospect Street, Betts House, 3rd Floor, New Haven, CT"
"Yale-China Association"," 442 Temple Street, New Haven, CT"
"Yale-in-London Program"," 1080 Chapel Street, New Haven, CT"
"Yale-New Haven Medical Center, Inc."," 789 Howard Avenue, New Haven, CT"
"Yale-New Haven Teachers Institute"," 195 Church Street, New Haven, CT"
"YSM Electronic & Machine Shop"," 315 Cedar Street, New Haven, CT"
